Resulting plugin list:
ace-editor 1.1
analysis-model-api 10.16.1
ant 475.vf34069fef73c
antisamy-markup-formatter 2.7
apache-httpcomponents-client-4-api 4.5.13-138.v4e7d9a_7b_a_e61
authentication-tokens 1.4
authorize-project 1.4.0
bootstrap5-api 5.2.0-3
bouncycastle-api 2.26
branch-api 2.1046.v0ca_37783ecc5
build-timeout 1.24
caffeine-api 2.9.3-65.v6a_47d0f4d1fe
checks-api 1.7.5
cloudbees-folder 6.740.ve4f4ffa_dea_54
command-launcher 84.v4a_97f2027398
config-file-provider 3.11.1
configuration-as-code 1512.vb_79d418d5fc8
credentials 1143.vb_e8b_b_ceee347
credentials-binding 523.vd859a_4b_122e6
data-tables-api 1.12.1-3
display-url-api 2.3.6
durable-task 500.v8927d9fd99d8
echarts-api 5.3.3-1
email-ext 2.91
extended-read-permission 3.2
external-monitor-job 192.ve979ca_8b_3ccd
extra-columns 1.25
font-awesome-api 6.1.2-1
forensics-api 1.15.1
gerrit-code-review 0.4.7
gerrit-trigger 2.36.0
ghprb 1.42.2
git 4.11.5
git-client 3.12.0
git-parameter 0.9.17
github 1.34.5
github-api 1.303-400.v35c2d8258028
github-branch-source 1695.v88de84e9f6b_9
github-checks 1.0.19
gitlab-api 5.0.1-78.v47a_45b_9f78b_7
gitlab-branch-source 640.v7101b_1c0def9
gitlab-plugin 1.5.35
greenballs 1.15.1
h2-api 1.4.199
handlebars 3.0.8
handy-uri-templates-2-api 2.1.8-22.v77d5b_75e6953
ionicons-api 24.va_745a_b_a_97fc3
jackson2-api 2.13.3-285.vc03c0256d517
jakarta-activation-api 2.0.1-1
jakarta-mail-api 2.0.1-1
javax-activation-api 1.2.0-4
jaxb 2.3.6-1
jdk-tool 55.v1b_32b_6ca_f9ca
jersey2-api 2.37-1
jjwt-api 0.11.5-77.v646c772fddb_0
jobConfigHistory 1171.v04b_66d78555e
jquery 1.12.4-1
jquery3-api 3.6.0-4
jsch 0.1.55.61.va_e9ee26616e7
junit 1119.1121.vc43d0fc45561
kubernetes 3704.va_08f0206b_95e
kubernetes-client-api 5.12.2-193.v26a_6078f65a_9
kubernetes-credentials 0.9.0
ldap 2.12
mailer 435.v79ef3972b_5c7
matrix-auth 3.1.5
matrix-project 772.v494f19991984
metrics 4.2.10-389.v93143621b_050
momentjs 1.1.1
okhttp-api 4.9.3-108.v0feda04578cf
pam-auth 1.10
parameterized-trigger 2.45
pipeline-build-step 2.18
pipeline-graph-analysis 195.v5812d95a_a_2f9
pipeline-groovy-lib 612.v84da_9c54906d
pipeline-input-step 449.v77f0e8b_845c4
pipeline-maven 1201.v1fce0b_9b_a_e24
pipeline-milestone-step 101.vd572fef9d926
pipeline-model-api 2.2114.v2654ca_721309
pipeline-model-definition 2.2114.v2654ca_721309
pipeline-model-extensions 2.2114.v2654ca_721309
pipeline-rest-api 2.24
pipeline-stage-step 296.v5f6908f017a_5
pipeline-stage-tags-metadata 2.2114.v2654ca_721309
pipeline-stage-view 2.24
plain-credentials 139.ved2b_9cf7587b
plugin-util-api 2.17.0
popper2-api 2.11.6-1
prism-api 1.28.0-2
promoted-builds 892.vd6219fc0a_efb
rebuild 1.34
resource-disposer 0.20
scm-api 621.vda_a_b_055e58f7
script-security 1175.v4b_d517d6db_f0
simple-theme-plugin 103.va_161d09c38c7
snakeyaml-api 1.31-84.ve43da_fb_49d0b
sonar 2.14
ssh-agent 295.v9ca_a_1c7cc3a_a_
ssh-credentials 305.v8f4381501156
ssh-slaves 1.834.v622da_57f702c
structs 324.va_f5d6774f3a_d
timestamper 1.20
token-macro 308.v4f2b_ed62b_b_16
trilead-api 1.67.vc3938a_35172f
variant 59.vf075fe829ccb
warnings-ng 9.19.1
workflow-aggregator 590.v6a_d052e5a_a_b_5
workflow-api 1192.v2d0deb_19d212
workflow-basic-steps 994.vd57e3ca_46d24
workflow-cps 2759.v87459c4eea_ca_
workflow-durable-task-step 1199.v02b_9244f8064
workflow-job 1207.ve6191ff089f8
workflow-multibranch 716.vc692a_e52371b_
workflow-scm-step 400.v6b_89a_1317c9a_
workflow-step-api 639.v6eca_cd8c04a_a_
workflow-support 838.va_3a_087b_4055b
ws-cleanup 0.43
xvnc 1.28

