Resulting plugin list:
analysis-model-api 13.7.0
ant 513.vde9e7b_a_0da_0f
antisamy-markup-formatter 173.v680e3a_b_69ff3
apache-httpcomponents-client-4-api 4.5.14-269.vfa_2321039a_83
apache-httpcomponents-client-5-api 5.5-150.veb_76e719855b_
asm-api 9.8-135.vb_2239d08ee90
authentication-tokens 1.144.v5ff4a_5ec5c33
authorize-project 2.0.0
bootstrap5-api 5.3.3-2
bouncycastle-api 2.30.1.81-264.v95c79c0e772c
branch-api 2.1229.ve86b_d02b_5e56
build-timeout 1.38
caffeine-api 3.2.2-178.v353b_8428ed56
checks-api 370.vb_61a_c57328f3
cloudbees-disk-usage-simple 241.v0ea_d9a_a_96ee8
cloudbees-folder 6.1026.ve06dfa_cf31c3
command-launcher 123.v37cfdc92ef67
commons-lang3-api 3.18.0-98.v3a_674c06072d
commons-text-api 1.14.0-194.v804a_dc3a_1b_d8
config-file-provider 988.v0461fcc2b_9d1
configuration-as-code 1963.v24e046127a_3f
coverage 2.7.1
credentials 1419.v2337d1ceceef
credentials-binding 702.vfe613e537e88
data-tables-api 2.3.2-3
disk-usage 1.3
display-url-api 2.217.va_6b_de84cc74b_
durable-task 595.ve87b_f1318d67
echarts-api 6.0.0-1
eddsa-api 0.3.0.1-19.vc432d923e5ee
email-ext 1925.v1598902b_58dd
extended-read-permission 61.vf24570ff3b_e9
external-monitor-job 223.vb_fddcf42c9b_3
extra-columns 1.27
font-awesome-api 7.0.0-1
forensics-api 3.1.0
ghprb 1.42.2
git 5.7.0
git-client 6.2.0
git-forensics 3.2.0
git-parameter 444.vca_b_84d3703c2
github 1.43.0
github-api 1.321-488.v9b_c0da_9533f8
github-branch-source 1824.v046257273408
github-checks 602.v264a_83610da_6
gitlab-api 5.6.0-100.v83f8f4b_f1129
gitlab-branch-source 723.v090f23d3cc49
gitlab-plugin 1.9.8
gson-api 2.13.1-139.v4569c2ef303f
handy-uri-templates-2-api 2.1.8-36.v85e4cb_234a_13
hashicorp-vault-plugin 371.v884a_4dd60fb_6
instance-identity 203.v15e81a_1b_7a_38
ionicons-api 88.va_4187cb_eddf1
jackson2-api 2.19.2-408.v18248a_324cfe
jakarta-activation-api 2.1.3-2
jakarta-mail-api 2.1.3-2
javadoc 327.vdfe586651ee0
javax-activation-api 1.2.0-8
jaxb 2.3.9-133.vb_ec76a_73f706
jdk-tool 83.v417146707a_3d
jersey2-api 2.47-165.ve7809a_3e87e0
jjwt-api 0.11.5-120.v0268cf544b_89
jobConfigHistory 1343.v4b_e819a_ecdc2
joda-time-api 2.14.0-127.v7d9da_295a_d51
jquery3-api 3.7.1-583.vda_6ca_102270d
jsch 0.2.16-95.v3eecb_55fa_b_78
json-api 20250517-153.vc8a_a_d87c0ce3
json-path-api 2.9.0-148.v22a_7ffe323ce
jsoup 1.21.1-52.v96e4041b_60fd
junit 1335.v6b_a_a_e18534e1
kubernetes 4358.vcfd9c5a_0a_f51
kubernetes-client-api 7.3.1-256.v788a_0b_787114
kubernetes-credentials 203.v85b_9836a_f44b_
ldap 780.vcb_33c9a_e4332
mailer 489.vd4b_25144138f
matrix-auth 3.2.6
matrix-project 849.v0cd64ed7e531
maven-plugin 3.26
metrics 4.2.32-476.v5042e1c1edd7
mina-sshd-api-common 2.15.0-161.vb_200831a_c15b_
mina-sshd-api-core 2.15.0-161.vb_200831a_c15b_
okhttp-api 4.11.0-189.v976fa_d3379d6
oss-symbols-api 388.v1e168e8f0d76
pam-auth 1.12
parameterized-trigger 859.vb_e3907a_07a_16
pipeline-build-step 571.v08a_fffd4b_0ce
pipeline-graph-analysis 241.vc3d48fb_b_2582
pipeline-graph-view 619.v92f3fcdc39db_
pipeline-groovy-lib 752.vdddedf804e72
pipeline-input-step 532.v9e7466cb_4406
pipeline-maven 1554.v292f3d3479e6
pipeline-maven-api 1554.v292f3d3479e6
pipeline-milestone-step 138.v78ca_76831a_43
pipeline-model-api 2.2258.v4e96d2b_da_f9b_
pipeline-model-definition 2.2258.v4e96d2b_da_f9b_
pipeline-model-extensions 2.2258.v4e96d2b_da_f9b_
pipeline-rest-api 2.38
pipeline-stage-step 322.vecffa_99f371c
pipeline-stage-tags-metadata 2.2258.v4e96d2b_da_f9b_
pipeline-stage-view 2.38
plain-credentials 199.v9f8e1f741799
plugin-util-api 6.1.0
prism-api 1.30.0-1
prometheus 819.v50953a_c560dd
promoted-builds 992.va_00888f21b_74
rebuild 338.va_0a_b_50e29397
resource-disposer 0.25
scm-api 707.v749f968369d4
script-security 1378.vf25626395f49
simple-theme-plugin 211.v5424a_5510e47
snakeyaml-api 2.3-125.v4d77857a_b_402
sonar 2.18
ssh-agent 386.v36cc0c7582f0
ssh-credentials 361.vb_f6760818e8c
ssh-slaves 3.1071.v0d059c7b_c555
structs 353.v261ea_40a_80fb_
timestamper 1.30
token-macro 444.v52de7e9c573d
trilead-api 2.209.v0e69b_c43c245
variant 70.va_d9f17f859e0
warnings-ng 12.9.0
workflow-aggregator 608.v67378e9d3db_1
workflow-api 1373.v7b_813f10efa_b_
workflow-basic-steps 1079.vce64b_a_929c5a_
workflow-cps 4177.vb_203fe395445
workflow-durable-task-step 1446.v3efd13441220
workflow-job 1540.v295eccc9778f
workflow-multibranch 810.v6b_6e77da_7058
workflow-scm-step 437.v05a_f66b_e5ef8
workflow-step-api 706.v518c5dcb_24c0
workflow-support 976.vb_d9493c2eb_09
ws-cleanup 0.48
xvnc 1.28

