Resulting plugin list:
analysis-model-api 13.2.0
ant 513.vde9e7b_a_0da_0f
antisamy-markup-formatter 173.v680e3a_b_69ff3
apache-httpcomponents-client-4-api 4.5.14-269.vfa_2321039a_83
apache-httpcomponents-client-5-api 5.4.3-140.v2516ccde99e7
asm-api 9.8-135.vb_2239d08ee90
authentication-tokens 1.131.v7199556c3004
authorize-project 2.0.0
bootstrap5-api 5.3.3-2
bouncycastle-api 2.30.1.80-256.vf98926042a_9b_
branch-api 2.1217.v43d8b_b_d8b_2c7
build-timeout 1.38
caffeine-api 3.2.0-166.v72a_6d74b_870f
checks-api 367.v18b_7f530e54a_
cloudbees-disk-usage-simple 239.v6a_f1a_c1c8046
cloudbees-folder 6.1012.v79a_86a_1ea_c1f
command-launcher 123.v37cfdc92ef67
commons-lang3-api 3.17.0-87.v5cf526e63b_8b_
commons-text-api 1.13.0-153.v91dcd89e2a_22
config-file-provider 982.vb_a_e458a_37021
configuration-as-code 1953.v148f87d74b_1e
credentials 1413.va_51c53703df1
credentials-binding 687.v619cb_15e923f
data-tables-api 2.2.2-1
disk-usage 1.3
display-url-api 2.209.v582ed814ff2f
durable-task 587.v84b_877235b_45
echarts-api 5.6.0-3
eddsa-api 0.3.0.1-19.vc432d923e5ee
email-ext 1876.v28d8d38315b_d
extended-read-permission 61.vf24570ff3b_e9
external-monitor-job 223.vb_fddcf42c9b_3
extra-columns 1.27
font-awesome-api 6.7.2-1
forensics-api 3.1.0
ghprb 1.42.2
git 5.7.0
git-client 6.1.3
git-forensics 3.2.0
git-parameter 435.va_f85861c663a_
github 1.43.0
github-api 1.321-488.v9b_c0da_9533f8
github-branch-source 1815.v9152b_2ff7a_1b_
github-checks 602.v264a_83610da_6
gitlab-api 5.6.0-100.v83f8f4b_f1129
gitlab-branch-source 718.v40b_5f0e67cd3
gitlab-plugin 1.9.8
gson-api 2.13.0-133.v5a_e3236a_8251
handy-uri-templates-2-api 2.1.8-36.v85e4cb_234a_13
hashicorp-vault-plugin 371.v884a_4dd60fb_6
instance-identity 203.v15e81a_1b_7a_38
ionicons-api 82.v0597178874e1
jackson2-api 2.18.3-402.v74c4eb_f122b_2
jakarta-activation-api 2.1.3-2
jakarta-mail-api 2.1.3-2
javadoc 327.vdfe586651ee0
javax-activation-api 1.2.0-8
jaxb 2.3.9-133.vb_ec76a_73f706
jdk-tool 83.v417146707a_3d
jersey2-api 2.45-154.v4ded3dc34f81
jjwt-api 0.11.5-120.v0268cf544b_89
jobConfigHistory 1305.vf20a_356586b_8
joda-time-api 2.14.0-127.v7d9da_295a_d51
jquery3-api 3.7.1-3
jsch 0.2.16-95.v3eecb_55fa_b_78
json-api 20250107-125.v28b_a_ffa_eb_f01
json-path-api 2.9.0-148.v22a_7ffe323ce
jsoup 1.19.1-38.v216a_f3721b_3c
junit 1322.v1556dc1c59a_f
kubernetes 4324.vfec199a_33512
kubernetes-client-api 6.10.0-251.v556f5f100500
kubernetes-credentials 192.v4d5b_1c429d17
ldap 780.vcb_33c9a_e4332
mailer 489.vd4b_25144138f
matrix-auth 3.2.6
matrix-project 847.v88a_f90ff9f20
maven-plugin 3.25
metrics 4.2.21-464.vc9fa_a_0d6265d
mina-sshd-api-common 2.15.0-161.vb_200831a_c15b_
mina-sshd-api-core 2.15.0-161.vb_200831a_c15b_
okhttp-api 4.11.0-189.v976fa_d3379d6
oss-symbols-api 318.ve82d80c8e1c4
pam-auth 1.12
parameterized-trigger 840.v3c7d4a_a_5e6c7
pipeline-build-step 567.vea_ce550ece97
pipeline-graph-analysis 235.vb_a_a_36b_f248c2
pipeline-graph-view 433.v28288510b_b_6d
pipeline-groovy-lib 752.vdddedf804e72
pipeline-input-step 517.vf8e782ee645c
pipeline-maven 1508.v347c4b_692202
pipeline-maven-api 1508.v347c4b_692202
pipeline-milestone-step 127.vb_52887ca_3b_6d
pipeline-model-api 2.2254.v2a_978de46f35
pipeline-model-definition 2.2254.v2a_978de46f35
pipeline-model-extensions 2.2254.v2a_978de46f35
pipeline-rest-api 2.37
pipeline-stage-step 322.vecffa_99f371c
pipeline-stage-tags-metadata 2.2254.v2a_978de46f35
pipeline-stage-view 2.37
plain-credentials 195.vb_906e9073dee
plugin-util-api 6.1.0
prism-api 1.30.0-1
prometheus 819.v50953a_c560dd
promoted-builds 984.v90b_eb_99fc7b_4
rebuild 338.va_0a_b_50e29397
resource-disposer 0.25
scm-api 704.v3ce5c542825a_
script-security 1373.vb_b_4a_a_c26fa_00
simple-theme-plugin 211.v5424a_5510e47
snakeyaml-api 2.3-125.v4d77857a_b_402
sonar 2.18
ssh-agent 384.ve275343791a_6
ssh-credentials 355.v9b_e5b_cde5003
ssh-slaves 3.1031.v72c6b_883b_869
structs 343.vdcf37b_a_c81d5
timestamper 1.28
token-macro 444.v52de7e9c573d
trilead-api 2.209.v0e69b_c43c245
variant 70.va_d9f17f859e0
warnings-ng 12.5.0
workflow-aggregator 608.v67378e9d3db_1
workflow-api 1371.ve334280b_d611
workflow-basic-steps 1079.vce64b_a_929c5a_
workflow-cps 4080.va_15b_44a_91525
workflow-durable-task-step 1405.v1fcd4a_d00096
workflow-job 1508.v9cb_c3a_a_89dfd
workflow-multibranch 806.vb_b_688f609ee9
workflow-scm-step 437.v05a_f66b_e5ef8
workflow-step-api 700.v6e45cb_a_5a_a_21
workflow-support 968.v8f17397e87b_8
ws-cleanup 0.48
xvnc 1.28

