Resulting plugin list:
analysis-model-api 12.9.1
ant 511.v0a_a_1a_334f41b_
antisamy-markup-formatter 162.v0e6ec0fcfcf6
apache-httpcomponents-client-4-api 4.5.14-208.v438351942757
apache-httpcomponents-client-5-api 5.4-136.v5a_21779c63f8
asm-api 9.7.1-97.v4cc844130d97
authentication-tokens 1.119.v50285141b_7e1
authorize-project 2.0.0
basic-branch-build-strategies 190.v343a_ee70d920
bootstrap5-api 5.3.3-1
bouncycastle-api 2.30.1.80-256.vf98926042a_9b_
branch-api 2.1208.vf528356feca_4
build-timeout 1.35
caffeine-api 3.1.8-133.v17b_1ff2e0599
checks-api 2.2.2
cloudbees-disk-usage-simple 232.v713eeed2e1f4
cloudbees-folder 6.980.v5a_cc0cb_25881
cloudbees-jenkins-advisor 358.v58972d19b_1f0
command-launcher 118.v72741845c17a_
commons-lang3-api 3.17.0-84.vb_b_938040b_078
commons-text-api 1.13.0-153.v91dcd89e2a_22
config-file-provider 982.vb_a_e458a_37021
configuration-as-code 1932.v75cb_b_f1b_698d
credentials 1405.vb_cda_74a_f8974
credentials-binding 687.v619cb_15e923f
data-tables-api 2.1.8-1
display-url-api 2.209.v582ed814ff2f
docker-commons 445.v6b_646c962a_94
docker-workflow 592.v1001d948426c
durable-task 581.v299a_5609d767
echarts-api 5.5.1-5
eddsa-api 0.3.0-4.v84c6f0f4969e
email-ext 1876.v28d8d38315b_d
embeddable-build-status 548.v5653c6e28c41
extended-read-permission 61.vf24570ff3b_e9
external-monitor-job 221.v35059272565b_
extra-columns 1.27
favorite 2.225.v68765b_b_a_1fa_3
font-awesome-api 6.6.0-2
forensics-api 2.7.0
ghprb 1.42.2
git 5.7.0
git-client 6.1.1
git-parameter 0.11.0
github 1.41.0
github-api 1.321-478.vc9ce627ce001
github-branch-source 1810.v913311241fa_9
gitlab-api 5.6.0-97.v6603a_83f8690
gitlab-branch-source 715.v4c830b_ca_ef95
gitlab-plugin 1.9.7
gradle 2.14
gson-api 2.12.1-113.v347686d6729f
handy-uri-templates-2-api 2.1.8-30.v7e777411b_148
hashicorp-vault-plugin 371.v884a_4dd60fb_6
htmlpublisher 1.37
instance-identity 201.vd2a_b_5a_468a_a_6
ionicons-api 74.v93d5eb_813d5f
jackson2-api 2.17.0-379.v02de8ec9f64c
jakarta-activation-api 2.1.3-1
jakarta-mail-api 2.1.3-1
javadoc 310.v032f3f16b_0f8
javax-activation-api 1.2.0-7
jaxb 2.3.9-1
jdk-tool 83.v417146707a_3d
jenkins-design-language 1.27.16
jersey2-api 2.45-154.v4ded3dc34f81
jjwt-api 0.11.5-112.ve82dfb_224b_a_d
jobConfigHistory 1296.v3459d8323cb_f
joda-time-api 2.13.1-115.va_6b_5f8efb_1d8
jquery3-api 3.7.1-2
jsch 0.2.16-86.v42e010d9484b_
json-api 20250107-125.v28b_a_ffa_eb_f01
json-path-api 2.9.0-138.vc943da_d833b_6
junit 1312.v1a_235a_b_94a_31
kubernetes 4306.vc91e951ea_eb_d
kubernetes-client-api 6.10.0-240.v57880ce8b_0b_2
kubernetes-credentials 190.v03c305394deb_
ldap 776.vddf3e325103b_
mail-watcher-plugin 1.19
mailer 489.vd4b_25144138f
mask-passwords 173.v6a_077a_291eb_5
matrix-auth 3.2.4
matrix-project 845.vffd7fa_f27555
maven-plugin 3.24
metrics 4.2.21-461.v881e35d8fa_b_a_
mina-sshd-api-common 2.14.0-143.v2b_362fc39576
mina-sshd-api-core 2.14.0-143.v2b_362fc39576
nexus-jenkins-plugin 3.14.431.v37ca_dc788b_b_1
okhttp-api 4.11.0-183.va_87fc7a_89810
pam-auth 1.11
parameterized-trigger 840.v3c7d4a_a_5e6c7
pipeline-build-step 551.v178956c49ef8
pipeline-graph-analysis 216.vfd8b_ece330ca_
pipeline-graph-view 409.v98f212e980b_4
