Resulting plugin list:
analysis-model-api 13.2.0
ansicolor 1.0.6
ant 513.vde9e7b_a_0da_0f
antisamy-markup-formatter 173.v680e3a_b_69ff3
apache-httpcomponents-client-4-api 4.5.14-269.vfa_2321039a_83
apache-httpcomponents-client-5-api 5.4-136.v5a_21779c63f8
asm-api 9.7.1-97.v4cc844130d97
authentication-tokens 1.131.v7199556c3004
authorize-project 2.0.0
bootstrap5-api 5.3.3-2
bouncycastle-api 2.30.1.80-256.vf98926042a_9b_
branch-api 2.1214.v3f652804588d
build-timeout 1.36
caffeine-api 3.2.0-161.v691ef352cee1
checks-api 367.v18b_7f530e54a_
cloudbees-disk-usage-simple 239.v6a_f1a_c1c8046
cloudbees-folder 6.985.va_f1635030cc5
command-launcher 118.v72741845c17a_
commons-lang3-api 3.17.0-84.vb_b_938040b_078
commons-text-api 1.13.0-153.v91dcd89e2a_22
config-file-provider 982.vb_a_e458a_37021
configuration-as-code 1932.v75cb_b_f1b_698d
credentials 1408.va_622a_b_f5b_1b_1
credentials-binding 687.v619cb_15e923f
dashboard-view 2.528.v3470c02b_d7c9
data-tables-api 2.2.2-1
display-url-api 2.209.v582ed814ff2f
durable-task 587.v84b_877235b_45
echarts-api 5.6.0-2
eddsa-api 0.3.0-13.v7cb_69ed68f00
email-ext 1876.v28d8d38315b_d
extended-read-permission 61.vf24570ff3b_e9
external-monitor-job 221.v35059272565b_
extra-columns 1.27
font-awesome-api 6.7.2-1
forensics-api 3.0.0
gerrit-trigger 2.42.0
ghprb 1.42.2
git 5.7.0
git-client 6.1.2
git-forensics 3.1.0
git-parameter 0.11.0
github 1.42.0
github-api 1.321-478.vc9ce627ce001
github-branch-source 1810.v913311241fa_9
gitlab-api 5.6.0-100.v83f8f4b_f1129
gitlab-branch-source 718.v40b_5f0e67cd3
gitlab-plugin 1.9.7
gradle 2.14.1
gson-api 2.12.1-113.v347686d6729f
handy-uri-templates-2-api 2.1.8-36.v85e4cb_234a_13
hashicorp-vault-plugin 371.v884a_4dd60fb_6
instance-identity 203.v15e81a_1b_7a_38
ionicons-api 82.v0597178874e1
jackson2-api 2.18.3-399.v74c9ce452ea_8
jakarta-activation-api 2.1.3-2
jakarta-mail-api 2.1.3-2
javadoc 310.v032f3f16b_0f8
javax-activation-api 1.2.0-8
jaxb 2.3.9-133.vb_ec76a_73f706
jdk-tool 83.v417146707a_3d
jersey2-api 2.45-154.v4ded3dc34f81
jjwt-api 0.11.5-120.v0268cf544b_89
jobConfigHistory 1305.vf20a_356586b_8
joda-time-api 2.13.1-115.va_6b_5f8efb_1d8
jquery3-api 3.7.1-3
jsch 0.2.16-95.v3eecb_55fa_b_78
json-api 20250107-125.v28b_a_ffa_eb_f01
json-path-api 2.9.0-148.v22a_7ffe323ce
jsoup 1.18.3-30.v952e9442d416
junit 1317.v5b_35d792b_06a_
kubernetes 4324.vfec199a_33512
kubernetes-client-api 6.10.0-251.v556f5f100500
kubernetes-credentials 192.v4d5b_1c429d17
ldap 776.vddf3e325103b_
mailer 489.vd4b_25144138f
matrix-auth 3.2.4
matrix-project 845.vffd7fa_f27555
maven-plugin 3.25
metrics 4.2.21-464.vc9fa_a_0d6265d
mina-sshd-api-common 2.14.0-143.v2b_362fc39576
mina-sshd-api-core 2.14.0-143.v2b_362fc39576
okhttp-api 4.11.0-183.va_87fc7a_89810
oss-symbols-api 308.v0c48656b_15c1
pam-auth 1.12
parameterized-trigger 840.v3c7d4a_a_5e6c7
pipeline-build-step 557.v95d96f77b_2b_8
pipeline-graph-analysis 231.v56354571a_da_0
pipeline-graph-view 423.v765c49ca_da_3f
pipeline-groovy-lib 752.vdddedf804e72
pipeline-input-step 517.vf8e782ee645c
pipeline-maven 1488.vfd8c04864236
pipeline-maven-api 1488.vfd8c04864236
pipeline-milestone-step 127.vb_52887ca_3b_6d
pipeline-model-api 2.2247.va_423189a_7dff
pipeline-model-definition 2.2247.va_423189a_7dff
pipeline-model-extensions 2.2247.va_423189a_7dff
pipeline-rest-api 2.37
pipeline-stage-step 322.vecffa_99f371c
pipeline-stage-tags-metadata 2.2247.va_423189a_7dff
pipeline-stage-view 2.37
plain-credentials 183.va_de8f1dd5a_2b_
plugin-util-api 6.0.0
prism-api 1.29.0-19
prometheus 819.v50953a_c560dd
promoted-builds 978.v4536a_f065dd8
rebuild 338.va_0a_b_50e29397
resource-disposer 0.25
scm-api 704.v3ce5c542825a_
script-security 1373.vb_b_4a_a_c26fa_00
simple-theme-plugin 202.v6367d3dea_73b_
snakeyaml-api 2.3-123.v13484c65210a_
sonar 2.18
ssh-agent 384.ve275343791a_6
ssh-credentials 355.v9b_e5b_cde5003
ssh-slaves 3.1031.v72c6b_883b_869
structs 343.vdcf37b_a_c81d5
timestamper 1.28
token-macro 444.v52de7e9c573d
trilead-api 2.192.vc50a_d147e369
variant 70.va_d9f17f859e0
warnings-ng 12.3.0
workflow-aggregator 600.vb_57cdd26fdd7
workflow-api 1363.v03f731255494
workflow-basic-steps 1079.vce64b_a_929c5a_
workflow-cps 4043.va_fb_de6a_a_8b_f5
workflow-durable-task-step 1405.v1fcd4a_d00096
workflow-job 1505.vea_4b_20a_4a_495
workflow-multibranch 803.v08103b_87c280
workflow-scm-step 437.v05a_f66b_e5ef8
workflow-step-api 700.v6e45cb_a_5a_a_21
workflow-support 961.v51869f7b_d409
ws-cleanup 0.48
xvnc 1.28

