Resulting plugin list:
analysis-model-api 12.9.0
ant 511.v0a_a_1a_334f41b_
antisamy-markup-formatter 162.v0e6ec0fcfcf6
apache-httpcomponents-client-4-api 4.5.14-208.v438351942757
apache-httpcomponents-client-5-api 5.4-124.v31e2987e48f4
asm-api 9.7.1-97.v4cc844130d97
authentication-tokens 1.119.v50285141b_7e1
authorize-project 1.8.0
bootstrap5-api 5.3.3-1
bouncycastle-api 2.30.1.78.1-248.ve27176eb_46cb_
branch-api 2.1182.va_e67548fb_ed2
build-timeout 1.33
build-with-parameters 76.v9382db_f78962
caffeine-api 3.1.8-133.v17b_1ff2e0599
checks-api 2.2.1
cloudbees-disk-usage-simple 205.v47f4ee8803d1
cloudbees-folder 6.955.v81e2a_35c08d3
command-launcher 115.vd8b_301cc15d0
commons-lang3-api 3.17.0-84.vb_b_938040b_078
commons-text-api 1.12.0-129.v99a_50df237f7
config-file-provider 980.v88956a_a_5d6a_d
configuration-as-code 1850.va_a_8c31d3158b_
credentials 1384.vf0a_2ed06f9c6
credentials-binding 681.vf91669a_32e45
data-tables-api 2.1.8-1
display-url-api 2.204.vf6fddd8a_8b_e9
durable-task 577.v2a_8a_4b_7c0247
echarts-api 5.5.1-3
eddsa-api 0.3.0-4.v84c6f0f4969e
email-ext 1844.v3ea_a_b_842374a_
extended-read-permission 53.v6499940139e5
external-monitor-job 215.v2e88e894db_f8
extra-columns 1.26
font-awesome-api 6.6.0-2
forensics-api 2.6.0
ghprb 1.42.2
git 5.5.2
git-client 5.0.0
git-parameter 0.9.19
github 1.40.0
github-api 1.321-468.v6a_9f5f2d5a_7e
github-branch-source 1803.v98e3d8a_c8169
gitlab-api 5.6.0-97.v6603a_83f8690
gitlab-branch-source 711.v41fb_c8b_2b_7a_e
gitlab-plugin 1.8.2
gson-api 2.11.0-85.v1f4e87273c33
handy-uri-templates-2-api 2.1.8-30.v7e777411b_148
hashicorp-vault-plugin 371.v884a_4dd60fb_6
instance-identity 201.vd2a_b_5a_468a_a_6
ionicons-api 74.v93d5eb_813d5f
jackson2-api 2.17.0-379.v02de8ec9f64c
jakarta-activation-api 2.1.3-1
jakarta-mail-api 2.1.3-1
javadoc 280.v050b_5c849f69
javax-activation-api 1.2.0-7
jaxb 2.3.9-1
jdk-tool 80.v8a_dee33ed6f0
jersey2-api 2.44-151.v6df377fff741
jjwt-api 0.11.5-112.ve82dfb_224b_a_d
jobConfigHistory 1277.vb_9a_0808495d7
joda-time-api 2.13.0-93.v9934da_29b_a_e9
jquery3-api 3.7.1-2
jsch 0.2.16-86.v42e010d9484b_
json-api 20240303-101.v7a_8666713110
json-path-api 2.9.0-118.v7f23ed82a_8b_8
junit 1307.vdd5b_2646279e
kubernetes 4295.v7fa_01b_309c95
kubernetes-client-api 6.10.0-240.v57880ce8b_0b_2
kubernetes-credentials 190.v03c305394deb_
ldap 725.v3cb_b_711b_1a_ef
mail-watcher-plugin 1.19
mailer 488.v0c9639c1a_eb_3
matrix-auth 3.2.3
matrix-project 839.vff91cd7e3a_b_2
maven-plugin 3.24
metrics 4.2.21-451.vd51df8df52ec
mina-sshd-api-common 2.14.0-133.vcc091215a_358
mina-sshd-api-core 2.14.0-133.vcc091215a_358
okhttp-api 4.11.0-172.vda_da_1feeb_c6e
pam-auth 1.11
parameterized-trigger 806.vf6fff3e28c3e
pipeline-build-step 540.vb_e8849e1a_b_d8
pipeline-graph-analysis 216.vfd8b_ece330ca_
pipeline-groovy-lib 744.v5b_556ee7c253
pipeline-input-step 495.ve9c153f6067b_
pipeline-maven 1457.vf7a_de13b_c0d4
pipeline-maven-api 1457.vf7a_de13b_c0d4
pipeline-milestone-step 119.vdfdc43fc3b_9a_
pipeline-model-api 2.2214.vb_b_34b_2ea_9b_83
pipeline-model-definition 2.2214.vb_b_34b_2ea_9b_83
pipeline-model-extensions 2.2214.vb_b_34b_2ea_9b_83
pipeline-rest-api 2.34
pipeline-stage-step 312.v8cd10304c27a_
pipeline-stage-tags-metadata 2.2214.vb_b_34b_2ea_9b_83
pipeline-stage-view 2.34
plain-credentials 183.va_de8f1dd5a_2b_
plugin-util-api 5.1.0
prism-api 1.29.0-17
prometheus 787.v52e8f47488fc
promoted-builds 965.vcda_c6a_e0998f
rebuild 332.va_1ee476d8f6d
resource-disposer 0.24
scm-api 696.v778d637b_a_762
script-security 1365.v4778ca_84b_de5
simple-theme-plugin 196.v96d9592f4efa_
snakeyaml-api 2.3-123.v13484c65210a_
sonar 2.17.2
ssh-agent 376.v8933585c69d3
ssh-credentials 343.v884f71d78167
ssh-slaves 2.973.v0fa_8c0dea_f9f
structs 338.v848422169819
timestamper 1.27
token-macro 400.v35420b_922dcb_
trilead-api 2.147.vb_73cc728a_32e
variant 60.v7290fc0eb_b_cd
warnings-ng 11.10.0
workflow-aggregator 600.vb_57cdd26fdd7
workflow-api 1336.vee415d95c521
workflow-basic-steps 1058.vcb_fc1e3a_21a_9
workflow-cps 3975.v567e2a_1ffa_22
workflow-durable-task-step 1371.vb_7cec8f3b_95e
workflow-job 1436.vfa_244484591f
workflow-multibranch 795.ve0cb_1f45ca_9a_
workflow-scm-step 427.v4ca_6512e7df1
workflow-step-api 678.v3ee58b_469476
workflow-support 930.vf51d22b_ce488
ws-cleanup 0.47
xvnc 1.28

