Resulting plugin list:
analysis-model-api 11.15.0
ant 497.v94e7d9fffa_b_9
antisamy-markup-formatter 162.v0e6ec0fcfcf6
apache-httpcomponents-client-4-api 4.5.14-208.v438351942757
authentication-tokens 1.53.v1c90fd9191a_b_
authorize-project 1.7.1
blueocean 1.27.9
blueocean-bitbucket-pipeline 1.27.9
blueocean-commons 1.27.9
blueocean-config 1.27.9
blueocean-core-js 1.27.9
blueocean-dashboard 1.27.9
blueocean-display-url 2.4.2
blueocean-events 1.27.9
blueocean-git-pipeline 1.27.9
blueocean-github-pipeline 1.27.9
blueocean-i18n 1.27.9
blueocean-jwt 1.27.9
blueocean-personalization 1.27.9
blueocean-pipeline-api-impl 1.27.9
blueocean-pipeline-editor 1.27.9
blueocean-pipeline-scm-api 1.27.9
blueocean-rest 1.27.9
blueocean-rest-impl 1.27.9
blueocean-web 1.27.9
bootstrap5-api 5.3.2-3
bouncycastle-api 2.30.1.77-225.v26ea_c9455fd9
branch-api 2.1144.v1425d1c3d5a_7
build-timeout 1.32
caffeine-api 3.1.8-133.v17b_1ff2e0599
checks-api 2.0.2
cloudbees-bitbucket-branch-source 866.vdea_7dcd3008e
cloudbees-folder 6.858.v898218f3609d
command-launcher 107.v773860566e2e
commons-lang3-api 3.13.0-62.v7d18e55f51e2
commons-text-api 1.11.0-95.v22a_d30ee5d36
config-file-provider 968.ve1ca_eb_913f8c
configuration-as-code 1775.v810dc950b_514
credentials 1311.vcf0a_900b_37c2
credentials-binding 657.v2b_19db_7d6e6d
data-tables-api 1.13.8-2
display-url-api 2.200.vb_9327d658781
durable-task 543.v262f6a_803410
echarts-api 5.4.3-2
email-ext 2.104
embeddable-build-status 467.v4a_954796e45d
extended-read-permission 53.v6499940139e5
external-monitor-job 215.v2e88e894db_f8
extra-columns 1.26
favorite 2.208.v91d65b_7792a_c
font-awesome-api 6.5.1-2
forensics-api 2.3.0
ghprb 1.42.2
git 5.2.1
git-client 4.6.0
git-parameter 0.9.19
github 1.37.3.1
github-api 1.318-461.v7a_c09c9fa_d63
github-branch-source 1772.va_69eda_d018d4
gitlab-api 5.3.0-91.v1f9a_fda_d654f
gitlab-branch-source 688.v5fa_356ee8520
gitlab-plugin 1.8.0
gson-api 2.10.1-15.v0d99f670e0a_7
handy-uri-templates-2-api 2.1.8-30.v7e777411b_148
htmlpublisher 1.32
instance-identity 185.v303dc7c645f9
ionicons-api 56.v1b_1c8c49374e
jackson2-api 2.16.1-373.ve709c6871598
jakarta-activation-api 2.0.1-3
jakarta-mail-api 2.0.1-3
javadoc 243.vb_b_503b_b_45537
javax-activation-api 1.2.0-6
jaxb 2.3.9-1
jdk-tool 73.vddf737284550
jenkins-design-language 1.27.10
jersey2-api 2.41-133.va_03323b_a_1396
jjwt-api 0.11.5-77.v646c772fddb_0
jobConfigHistory 1229.v3039470161a_d
joda-time-api 2.12.6-21.vca_fd74418fb_7
jquery3-api 3.7.1-1
jsch 0.2.16-86.v42e010d9484b_
json-api 20231013-17.v1c97069404b_e
json-path-api 2.9.0-33.v2527142f2e1d
junit 1256.v002534a_5f33e
kubernetes 4179.v3b_88431df708
kubernetes-client-api 6.9.2-239.ve49a_3f285167
kubernetes-credentials 0.11
ldap 711.vb_d1a_491714dc
mailer 463.vedf8358e006b_
matrix-auth 3.2.1
matrix-project 822.824.v14451b_c0fd42
maven-plugin 3.23
metrics 4.2.18-442.v02e107157925
mina-sshd-api-common 2.12.0-90.v9f7fb_9fa_3d3b_
mina-sshd-api-core 2.12.0-90.v9f7fb_9fa_3d3b_
okhttp-api 4.11.0-157.v6852a_a_fa_ec11
pam-auth 1.10
parameterized-trigger 787.v665fcf2a_830b_
pipeline-build-step 540.vb_e8849e1a_b_d8
pipeline-graph-analysis 202.va_d268e64deb_3
pipeline-groovy-lib 704.vc58b_8890a_384
pipeline-input-step 477.v339683a_8d55e
pipeline-maven 1368.vfb_8509d7b_869
pipeline-maven-api 1368.vfb_8509d7b_869
pipeline-milestone-step 111.v449306f708b_7
pipeline-model-api 2.2175.v76a_fff0a_2618
pipeline-model-definition 2.2175.v76a_fff0a_2618
pipeline-model-extensions 2.2175.v76a_fff0a_2618
pipeline-rest-api 2.34
pipeline-stage-step 305.ve96d0205c1c6
pipeline-stage-tags-metadata 2.2175.v76a_fff0a_2618
pipeline-stage-view 2.34
plain-credentials 143.v1b_df8b_d3b_e48
plugin-util-api 3.8.0
prism-api 1.29.0-10
promoted-builds 945.v597f5c6a_d3fd
pubsub-light 1.18
rebuild 330.v645b_7df10e2a_
resource-disposer 0.23
scm-api 683.vb_16722fb_b_80b_
script-security 1313.v7a_6067dc7087
simple-theme-plugin 176.v39740c03a_a_f5
snakeyaml-api 2.2-111.vc6598e30cc65
sonar 2.17.1
sse-gateway 1.26
ssh-agent 346.vda_a_c4f2c8e50
ssh-credentials 308.ve4497b_ccd8f4
ssh-slaves 2.948.vb_8050d697fec
structs 337.v1b_04ea_4df7c8
timestamper 1.26
token-macro 400.v35420b_922dcb_
trilead-api 2.133.vfb_8a_7b_9c5dd1
variant 60.v7290fc0eb_b_cd
warnings-ng 10.7.0
workflow-aggregator 596.v8c21c963d92d
workflow-api 1283.v99c10937efcb_
workflow-basic-steps 1042.ve7b_140c4a_e0c
workflow-cps 3853.vb_a_490d892963
workflow-durable-task-step 1317.v5337e0c1fe28
workflow-job 1385.vb_58b_86ea_fff1
workflow-multibranch 773.vc4fe1378f1d5
workflow-scm-step 415.v434365564324
workflow-step-api 657.v03b_e8115821b_
workflow-support 865.v43e78cc44e0d
ws-cleanup 0.45
xvnc 1.28

