Resulting plugin list:
analysis-model-api 13.9.0-909.v97dd3a_07c53e
ant 518.v8d8dc7945eca_
antisamy-markup-formatter 173.v680e3a_b_69ff3
apache-httpcomponents-client-4-api 4.5.14-269.vfa_2321039a_83
apache-httpcomponents-client-5-api 5.5-170.v023de017ccd7
asm-api 9.8-163.vb_2a_96d3f9c3c
authentication-tokens 1.144.v5ff4a_5ec5c33
authorize-project 2.0.0
bootstrap5-api 5.3.8-895.v4d0d8e47fea_d
bouncycastle-api 2.30.1.81-264.v95c79c0e772c
branch-api 2.1253.v6e7f7519f710
build-timeout 1.38
caffeine-api 3.2.2-178.v353b_8428ed56
checks-api 373.vfe7645102093
cloudbees-disk-usage-simple 256.v20ec4eb_884f1
cloudbees-folder 6.1045.vb_ddd55e2d03f
command-launcher 123.v37cfdc92ef67
commons-lang3-api 3.19.0-104.v12125f33a_255
commons-text-api 1.14.0-194.v804a_dc3a_1b_d8
config-file-provider 1002.v93e06b_792d44
configuration-as-code 1995.v540b_50a_eb_0c1
credentials 1447.v4cb_b_539b_5321
credentials-binding 702.vfe613e537e88
data-tables-api 2.3.4-1400.vb_1e3e3c4dfc8
display-url-api 2.217.va_6b_de84cc74b_
durable-task 605.v9a_b_9040c9970
echarts-api 6.0.0-1165.vd1283a_3e37d4
eddsa-api 0.3.0.1-19.vc432d923e5ee
email-ext 1925.v1598902b_58dd
extended-read-permission 61.vf24570ff3b_e9
external-monitor-job 223.vb_fddcf42c9b_3
extra-columns 1.27
font-awesome-api 7.0.1-872.vb_679b_2c95492
forensics-api 3.1754.v2a_6613b_77002
gerrit-code-review 0.5.0
ghprb 1.42.2
git 5.7.0
git-client 6.4.0
git-parameter 444.vca_b_84d3703c2
github 1.45.0
github-api 1.330-492.v3941a_032db_2a_
github-branch-source 1864.v411feec5e78e
gitlab-api 5.8.1-106.vef1de800710e
gitlab-branch-source 724.v6e30226050b_3
gitlab-plugin 1.9.9
gson-api 2.13.2-173.va_a_092315913c
handy-uri-templates-2-api 2.1.8-36.v85e4cb_234a_13
hashicorp-vault-plugin 371.v884a_4dd60fb_6
instance-identity 203.v15e81a_1b_7a_38
ionicons-api 94.vcc3065403257
jackson2-api 2.20.0-411.v6ef8fdee4fe9
jakarta-activation-api 2.1.3-2
jakarta-mail-api 2.1.3-3
javadoc 354.vee1a_660b_4990
javax-activation-api 1.2.0-8
jaxb 2.3.9-133.vb_ec76a_73f706
jdk-tool 83.v417146707a_3d
jersey2-api 2.47-165.ve7809a_3e87e0
jjwt-api 0.11.5-120.v0268cf544b_89
jobConfigHistory 1356.ve360da_6c523a_
joda-time-api 2.14.0-149.v1c3ce991d1b_9
jquery3-api 3.7.1-619.vdb_10e002501a_
jsch 0.2.16-95.v3eecb_55fa_b_78
json-api 20250517-173.v596efb_962a_31
json-path-api 2.9.0-190.veefca_05d5477
jsoup 1.21.2-66.v6ea_38164b_8a_2
junit 1355.v45e2ea_65863c
kubernetes 4371.vb_33b_086d54a_1
kubernetes-client-api 7.3.1-256.v788a_0b_787114
kubernetes-credentials 206.vde31a_b_0f71a_c
ldap 780.vcb_33c9a_e4332
mailer 522.va_995fa_cfb_8b_d
matrix-auth 3.2.8
matrix-project 858.vb_b_eb_9a_7ea_99e
maven-plugin 3.27
metrics 4.2.33-484.v2fcd689980d1
mina-sshd-api-common 2.16.0-167.va_269f38cc024
mina-sshd-api-core 2.16.0-167.va_269f38cc024
okhttp-api 4.12.0-195.vc02552c04ffd
oss-symbols-api 392.v27a_482d90083
pam-auth 1.12
parameterized-trigger 873.v8b_e37dd8418f
pipeline-build-step 571.v08a_fffd4b_0ce
pipeline-graph-analysis 245.v88f03631a_b_21
pipeline-graph-view 642.v39f37c8e1e70
pipeline-groovy-lib 763.v13008816b_de7
pipeline-input-step 534.v352f0a_e98918
pipeline-maven 1567.vb_2c3a_2116860
pipeline-maven-api 1567.vb_2c3a_2116860
pipeline-milestone-step 138.v78ca_76831a_43
pipeline-model-api 2.2273.v643f36ed9e94
pipeline-model-definition 2.2273.v643f36ed9e94
pipeline-model-extensions 2.2273.v643f36ed9e94
pipeline-rest-api 2.38
pipeline-stage-step 322.vecffa_99f371c
pipeline-stage-tags-metadata 2.2273.v643f36ed9e94
pipeline-stage-view 2.38
plain-credentials 199.v9f8e1f741799
plugin-util-api 6.1192.v30fe6e2837ff
prism-api 1.30.0-609.vf0a_df102d9a_f
prometheus 819.v50953a_c560dd
promoted-builds 992.va_00888f21b_74
rebuild 338.va_0a_b_50e29397
resource-disposer 0.25
scm-api 709.v6c27075a_b_1c7
script-security 1378.vf25626395f49
simple-theme-plugin 211.v5424a_5510e47
snakeyaml-api 2.3-125.v4d77857a_b_402
sonar 2.18
ssh-agent 386.v36cc0c7582f0
ssh-credentials 361.vb_f6760818e8c
ssh-slaves 3.1071.v0d059c7b_c555
structs 353.v261ea_40a_80fb_
timestamper 1.30
token-macro 477.vd4f0dc3cb_cf1
trilead-api 2.209.v0e69b_c43c245
variant 70.va_d9f17f859e0
warnings-ng 12.9783.ve1cb_9f060738
workflow-aggregator 608.v67378e9d3db_1
workflow-api 1384.vdc05a_48f535f
workflow-basic-steps 1098.v808b_fd7f8cf4
workflow-cps 4209.v83c4e257f1e9
workflow-durable-task-step 1464.v2d3f5c68f84c
workflow-job 1549.vc8d7f497b_22f
workflow-multibranch 821.vc3b_4ea_780798
workflow-scm-step 452.vdf1ca_c8d3a_87
workflow-step-api 710.v3e456cc85233
workflow-support 989.va_20a_1a_57710a_
ws-cleanup 0.49
xvnc 1.28

