Resulting plugin list:
analysis-model-api 13.21.0-945.va_f5a_0b_c1404b_
ant 520.vd082ecfb_16a_9
antisamy-markup-formatter 173.v680e3a_b_69ff3
apache-httpcomponents-client-4-api 4.5.14-269.vfa_2321039a_83
apache-httpcomponents-client-5-api 5.6-191.vb_47e2b_41c698
asm-api 9.9.1-189.vb_5ef2964da_91
authentication-tokens 1.144.v5ff4a_5ec5c33
authorize-project 2.0.0
bootstrap5-api 5.3.8-895.v4d0d8e47fea_d
bouncycastle-api 2.30.1.83-289.v8426fcd19371
branch-api 2.1280.v0d4e5b_b_460ef
build-discarder 158.vce570d01ce4c
build-timeout 1.40
caffeine-api 3.2.3-194.v31a_b_f7a_b_5a_81
checks-api 402.vca_263b_f200e3
cloudbees-disk-usage-simple 256.v20ec4eb_884f1
cloudbees-folder 6.1079.vc0975c2de294
command-launcher 123.v37cfdc92ef67
commons-lang3-api 3.20.0-109.ve43756e2d2b_4
commons-text-api 1.15.0-218.va_61573470393
config-file-provider 1006.vc7366c201f57
configuration-as-code 2053.vb_0da_47381a_25
credentials 1492.vcfb_5dc894a_e3
credentials-binding 717.v951d49b_5f3a_a_
data-tables-api 2.3.7-1534.v539d4edf109d
display-url-api 2.217.va_6b_de84cc74b_
durable-task 664.v2b_e7a_dfff66c
echarts-api 6.0.0-1247.vf3e35a_c1813f
eddsa-api 0.3.0.1-29.v67e9a_1c969b_b_
email-ext 1933.v45cec755423f
extended-read-permission 68.vd270568a_7520
external-monitor-job 223.vb_fddcf42c9b_3
extra-columns 1.28
font-awesome-api 7.2.0-965.ve3840b_696418
forensics-api 3.1832.va_1179842528b_
ghprb 1.42.2
git 5.10.0
git-client 6.5.0
git-parameter 462.vdcf3df2ed2ca_
github 1.46.0
github-api 1.330-492.v3941a_032db_2a_
github-branch-source 1967.vdea_d580c1a_b_a_
gitlab-api 6.2.0-111.vf174d6b_8c12e
gitlab-branch-source 740.v04f287f9194d
gitlab-plugin 1.9.13
gradle 2.18.1203.v2c96b_1243c72
gson-api 2.13.2-173.va_a_092315913c
handy-uri-templates-2-api 2.1.8-38.vcea_5d521d5f3
hashicorp-vault-plugin 379.v080d932e61e4
instance-identity 203.v15e81a_1b_7a_38
ionicons-api 94.vcc3065403257
jackson2-api 2.21.1-428.vf8dd988fa_d8d
jackson3-api 3.1.0-64.v37e742c35905
jakarta-activation-api 2.1.4-1
jakarta-mail-api 2.1.5-1
jakarta-xml-bind-api 4.0.6-12.vb_1833c1231d3
javadoc 354.vee1a_660b_4990
javax-activation-api 1.2.0-8
jaxb 2.3.9-143.v5979df3304e6
jdk-tool 83.v417146707a_3d
jersey3-api 3.1.11-4.v77818819c2e1
jjwt-api 0.11.5-120.v0268cf544b_89
jobConfigHistory 1356.ve360da_6c523a_
joda-time-api 2.14.1-187.vdf2def02b_8a_1
jquery3-api 3.7.1-619.vdb_10e002501a_
jsch 0.2.16-95.v3eecb_55fa_b_78
json-api 20251224-185.v0cc18490c62c
json-path-api 3.0.0-218.vcd4dd1355de2
jsoup 1.22.1-76.v9cdb_2456c0e3
junit 1403.vd9d1413fd205
kubernetes 4423.vb_59f230b_ce53
kubernetes-client-api 7.3.1-256.v788a_0b_787114
kubernetes-credentials 207.v492f58828b_ed
ldap 807.v7d7de30930cf
mailer 525.v2458b_d8a_1a_71
matrix-auth 3.2.9
matrix-communication 13.vdcfb_b_44ce852
matrix-project 870.v9db_fcfc2f45b_
maven-plugin 3.27
metrics 4.2.37-494.v06f9a_939d33a_
mina-sshd-api-common 2.16.0-167.va_269f38cc024
mina-sshd-api-core 2.16.0-167.va_269f38cc024
okhttp-api 5.3.2-200.vedb_720a_cf1f8
oss-symbols-api 442.v99039087229b_
pam-auth 1.12
parameterized-trigger 890.vc240a_a_e1217f
