Resulting plugin list:
analysis-model-api 13.2.0
ant 513.vde9e7b_a_0da_0f
antisamy-markup-formatter 173.v680e3a_b_69ff3
apache-httpcomponents-client-4-api 4.5.14-269.vfa_2321039a_83
apache-httpcomponents-client-5-api 5.5-150.veb_76e719855b_
asm-api 9.8-135.vb_2239d08ee90
authentication-tokens 1.131.v7199556c3004
authorize-project 2.0.0
bootstrap5-api 5.3.3-2
bouncycastle-api 2.30.1.80-261.v00c0e2618ec3
branch-api 2.1217.v43d8b_b_d8b_2c7
build-timeout 1.38
caffeine-api 3.2.0-166.v72a_6d74b_870f
checks-api 370.vb_61a_c57328f3
cloud-stats 377.vd8a_6c953e98e
cloudbees-disk-usage-simple 241.v0ea_d9a_a_96ee8
cloudbees-folder 6.1023.v4fcb_72152519
command-launcher 123.v37cfdc92ef67
commons-compress-api 1.27.1-3
commons-lang3-api 3.17.0-87.v5cf526e63b_8b_
commons-text-api 1.13.1-176.v74d88f22034b_
config-file-provider 988.v0461fcc2b_9d1
configuration-as-code 1963.v24e046127a_3f
credentials 1415.v831096eb_5534
credentials-binding 687.v619cb_15e923f
data-tables-api 2.2.2-1
disk-usage 1.3
display-url-api 2.209.v582ed814ff2f
docker-commons 457.v0f62a_94f11a_3
docker-java-api 3.5.1-116.v2798d5ed4ce7
docker-plugin 1274.vc0203fdf2e74
docker-workflow 621.va_73f881d9232
durable-task 587.v84b_877235b_45
echarts-api 5.6.0-4
eddsa-api 0.3.0.1-19.vc432d923e5ee
email-ext 1876.v28d8d38315b_d
embeddable-build-status 548.v5653c6e28c41
envinject 2.926.v69c9b_3896a_96
envinject-api 1.235.va_14c74f8f487
extended-read-permission 61.vf24570ff3b_e9
external-monitor-job 223.vb_fddcf42c9b_3
extra-columns 1.27
font-awesome-api 6.7.2-1
forensics-api 3.1.0
generic-webhook-trigger 2.3.1
ghprb 1.42.2
git 5.7.0
git-client 6.1.3
git-parameter 439.vb_0e46ca_14534
github 1.43.0
github-api 1.321-488.v9b_c0da_9533f8
github-branch-source 1822.v9eec8e5e69e3
gitlab-api 5.6.0-100.v83f8f4b_f1129
gitlab-branch-source 718.v40b_5f0e67cd3
gitlab-plugin 1.9.8
gradle 2.15
gson-api 2.13.1-139.v4569c2ef303f
handy-uri-templates-2-api 2.1.8-36.v85e4cb_234a_13
hashicorp-vault-plugin 371.v884a_4dd60fb_6
instance-identity 203.v15e81a_1b_7a_38
ionicons-api 88.va_4187cb_eddf1
jackson2-api 2.18.3-402.v74c4eb_f122b_2
jakarta-activation-api 2.1.3-2
jakarta-mail-api 2.1.3-2
javadoc 327.vdfe586651ee0
javax-activation-api 1.2.0-8
jaxb 2.3.9-133.vb_ec76a_73f706
jdk-tool 83.v417146707a_3d
jersey2-api 2.45-154.v4ded3dc34f81
jjwt-api 0.11.5-120.v0268cf544b_89
jobConfigHistory 1328.vb_24fa_565cfec
joda-time-api 2.14.0-127.v7d9da_295a_d51
jquery3-api 3.7.1-3
jsch 0.2.16-95.v3eecb_55fa_b_78
json-api 20250517-153.vc8a_a_d87c0ce3
json-path-api 2.9.0-148.v22a_7ffe323ce
jsoup 1.20.1-46.ve5f1416988c2
junit 1335.v6b_a_a_e18534e1
kubernetes 4353.vb_47977da_9417
kubernetes-client-api 6.10.0-251.v556f5f100500
kubernetes-credentials 192.v4d5b_1c429d17
ldap 780.vcb_33c9a_e4332
mailer 489.vd4b_25144138f
matrix-auth 3.2.6
matrix-project 849.v0cd64ed7e531
maven-plugin 3.26
metrics 4.2.32-476.v5042e1c1edd7
mina-sshd-api-common 2.15.0-161.vb_200831a_c15b_
mina-sshd-api-core 2.15.0-161.vb_200831a_c15b_
okhttp-api 4.11.0-189.v976fa_d3379d6
oss-symbols-api 324.v432cce4172ca_
pam-auth 1.12
parameterized-trigger 859.vb_e3907a_07a_16
pipeline-build-step 567.vea_ce550ece97
pipeline-graph-analysis 241.vc3d48fb_b_2582
pipeline-graph-view 571.v027477693877
pipeline-groovy-lib 752.vdddedf804e72
pipeline-input-step 527.vd61b_1d3c5078
pipeline-maven 1530.v625a_45ca_0fdd
pipeline-maven-api 1530.v625a_45ca_0fdd
pipeline-milestone-step 138.v78ca_76831a_43
pipeline-model-api 2.2255.v56a_15e805f12
pipeline-model-definition 2.2255.v56a_15e805f12
pipeline-model-extensions 2.2255.v56a_15e805f12
pipeline-rest-api 2.38
pipeline-stage-step 322.vecffa_99f371c
pipeline-stage-tags-metadata 2.2255.v56a_15e805f12
pipeline-stage-view 2.38
plain-credentials 195.vb_906e9073dee
plugin-util-api 6.1.0
prism-api 1.30.0-1
prometheus 819.v50953a_c560dd
promoted-builds 992.va_00888f21b_74
rebuild 338.va_0a_b_50e29397
resource-disposer 0.25
scm-api 704.v3ce5c542825a_
script-security 1373.vb_b_4a_a_c26fa_00
simple-theme-plugin 211.v5424a_5510e47
snakeyaml-api 2.3-125.v4d77857a_b_402
sonar 2.18
ssh-agent 386.v36cc0c7582f0
ssh-credentials 355.v9b_e5b_cde5003
ssh-slaves 3.1031.v72c6b_883b_869
structs 350.v3b_30f09f2363
timestamper 1.29
token-macro 444.v52de7e9c573d
trilead-api 2.209.v0e69b_c43c245
variant 70.va_d9f17f859e0
warnings-ng 12.6.0
workflow-aggregator 608.v67378e9d3db_1
workflow-api 1373.v7b_813f10efa_b_
workflow-basic-steps 1079.vce64b_a_929c5a_
workflow-cps 4106.v7a_8a_8176d450
workflow-durable-task-step 1405.v1fcd4a_d00096
workflow-job 1532.va_9a_d244074a_3
workflow-multibranch 806.vb_b_688f609ee9
workflow-scm-step 437.v05a_f66b_e5ef8
workflow-step-api 700.v6e45cb_a_5a_a_21
workflow-support 968.v8f17397e87b_8
ws-cleanup 0.48
xvnc 1.28

